Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес
ЭКСПРЕСС-АТЕЛЬЕ,0,https://wa.me/79630885657,,79630885657,,,,"454138  Челябинск  Комсомольский проспект  дом 28  ТК ""Магнолия""  секция 309"
МУЖ НА ЧАС,0,https://wa.me/79373390222,,79373390222,muzh-nachas.ru,,,454090  Челябинск  проспект Ленина  дом 27
ДОМАШНИЙ МАСТЕР,0,,83512156055,,domashnij-master74.ru,,,454081  Челябинск  проспект Ленина  дом 1-б
ДОМАШНИЙ МАСТЕР,0,,83512156055,,domashnij-master74.ru,,,454106  Челябинск  проспект Победы  дом 215
АЛЬФА74 центр услуг,0,,83512777727,,www.alfa74.ru,http://vk.com/cu_alfa74,,454047  Челябинск  2-я Павелецкая улица  дом 18
МУЖ НА ЧАС,0,,83517514156,,muzh-na-chas-chel.ru,,,454008  Челябинск  Свердловский проспект  дом 2
НавиСКС,0,,83517505886,,navisks.com,,,454106  Челябинск  улица Косарева  дом 63
АННИТА-ЧЕЛ,0,,83512569667,,,,,454108  Челябинск  улица Барбюса  дом 2
КОМБИНАТ БЫТОВОГО ОБСЛУЖИВАНИЯ ,0,,83516631672,,,http://vk.com/sborka174,,457100  Челябинская область  Увельский район  поселок Увельский  Привокзальная улица  дом 4
КОМБИНАТ БЫТОВОГО ОБСЛУЖИВАНИЯ № 753,0,,83517911649,,voenstil.ru,http://vk.com/sborka174,,454084  Челябинск  Свердловский проспект  дом 31
ДОМАШНИЙ МАСТЕР сервис-центр,0,,83517912432,,,http://vk.com/sborka174,,454008  Челябинск  Свердловский проспект  дом 8
ШИК,0,,83512515532,, ,,,454108  Челябинск  улица Тухачевского  дом 13-б
ТВИСТ центр бытовых услуг,0,,83512486190,, ,,,454008  Челябинск  Свердловский проспект  дом 11  цокольный эт.
Ателье по ремонту и пошиву одежды,0,,83512486190,,,,,
ПРЯМЫЕ РУКИ компания,0,,83512205613,,megaruki.ru,,,454008  Челябинск  Свердловский проспект  дом 26-а
КАМОДИСС мебельная фабрика,0,https://wa.me/79323040506,,79323040506, ,,,454087  Челябинск  улица Блюхера  дом 69-г
Бытовые услуги Шунайлова Н.С.,0,,83517766539,,,,,Челябинск  улица Масленникова  дом 16
ИНЖЕНЕРНЫЕ СЕТИ компания,0,https://wa.me/79193239333,,79193239333, ,,,454106  Челябинск  улица Островского  дом 30  507 офис
ВОДОКАНАЛСТРОЙ 11,0,,83512479844,,,,,454084  Челябинск  улица Братьев Кашириных  дом 8
КОММУНАЛ СЕРВИС,0,,83517775551,, ,,,454038  Челябинск  Хлебозаводская улица  дом 34
СЛУЖБА ОТКАЧКИ КАНАЛИЗАЦИЙ,0,,83512020106,,,,,454087  Челябинск  улица Короленко  дом 79
ФЕНИКС г. Челябинск,0,,83512256802,,,,,454082  Челябинск  Троицкий тракт  дом 74
ДИВИДИС компания,0,,83512170930,,,,,454087  Челябинск  улица Короленко  дом 79
ЭНЕРГОАРСЕНАЛ строительная фирма,0,https://wa.me/79028612829,,79028612829,,,,454136  Челябинск  улица Молодогвардейцев  дом 60-б
СТРОЙЛАЙН строительная компания,0,https://wa.me/79000867777,,79000867777,,,,454080  Челябинск  Тернопольская улица  дом 6
ГАЗОВАЯ КОМПАНИЯ фирма,0,https://wa.me/79048010672,,79048010672,,,,454010  Челябинск  улица Гагарина  дом 9
ПРИЗМА фирма,0,https://wa.me/79822730130,,79822730130,,,,454036  Челябинск  Свердловский тракт  дом 8
АКВАКОНТРОЛЬ,0,,83512408340,,aquacontrol74.com,http://vk.com/aquacontrol74,,454029  Челябинск  улица Чичерина  дом 37-Б
СЛУЖБА ДОСТАВКИ ТЕХНИЧЕСКОЙ ВОДЫ И УСЛУГ ИЛОСОСА ИП Коротин А.М.,0,,83517766936,, ,,,454006  Челябинск  улица 3 Интернационала  дом 61  а
СЛУЖБА АССЕНИЗАЦИИ,0,https://wa.me/79525299090,,79525299090,xn--74-6kcaymg3bmueas.xn--p1ai,,,Челябинская область  Красноармейский район  поселок Лазурный  улица Кирова  дом 8
БИОНИКА,0,,83512480405,, ,,,454080  Челябинск  проспект Ленина  дом 89  офис 125
ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ВОДОСНАБЖЕНИЯ И ВОДООТВЕДЕНИЯ,0,,83512140014,, ,,,454048  Челябинск  улица Воровского  дом 60-а
ЛИНЕЙНОЕ ЭКСПЛУАТАЦИОННО-РЕМОНТНОЕ УПРАВЛЕНИЕ,0,,83517989929,,leru74.ru,,,454138  Челябинск  улица Молодогвардейцев  дом 1-д
ВОДОСБЫТ структурное подразделение,0,,83512591465,, ,,,454048  Челябинск  Варненская улица  дом 13  каб. 123
ЧЕЛЯБИНСКАЯ ЖИЛИЩНО-КОММУНАЛЬНАЯ СЛУЖБА ПО УСТАНОВКЕ ВОДОСЧЁТЧИКОВ,0,,83517765067,,,,,454010  Челябинск
СПАСАТЕЛЬ служба аварийного открывания замков,0,,83512359045,, ,,,454010  Челябинск
СПАССЕРВИС,0,,83517776661,, ,,,454106  Челябинск  Северо-Крымская улица  дом 1
СЕРВИС ПО ВСКРЫТИЮ ЗАМКОВ,0,https://wa.me/79080760750,,79080760750,lockservice174.ru,http://vk.com/club190185913,,454090  Челябинск  проспект Ленина  дом 21  Б
ЗАМОЧНЫЙ МАСТЕР компания,0,https://wa.me/79250183383,,79250183383, ,http://vk.com/ustanovkazamkov,,454090  Челябинск  Красноармейская улица  дом 116
СЕРВИС-КЛЮЧ.RU,0,,83512150896,, ,,,454090  Челябинск  улица Свободы  дом 145-а
ЗОЛОТОЙ КЛЮЧИК служба аварийного открывания замков,0,,83512505577,, ,,,454091  Челябинск  проспект Ленина  дом 21-а  корпус 1  офис 106
АВАРИЙНОЕ ВСКРЫТИЕ ЗАМКОВ,0,https://wa.me/79021717878,,79021717878,chelyabinsk.unlockzamok.ru,,,454090  Челябинск  улица Тимирязева  дом 8
СЛУЖБА ВСКРЫТИЯ С1,0,,88005554263,,chelyabinsk.vskritie-s1.ru,,,454016  Челябинск  Университетская набережная  дом 30
АБ-КЛЮЧ-СЕРВИС,0,https://wa.me/79273352939,,79273352939,,,,454008  Челябинск  Свердловский проспект  дом 32/8
ФОРМАН,0,,83512380848,, ,,,454084  Челябинск  улица Кирова  дом 19
МАСТЕР ЗАМКОВ аварийно-сервисная служба,0,,83517775434,,master-zamkov.satom.ru,,,454048  Челябинск  улица Энтузиастов  дом 30
РЕМПЛАСТ сервисная компания,0,,83512332010,,,,,Челябинск  улица Гагарина  дом 7-а  210 офис
ВЕЧНЫЙ ДВИГАТЕЛЬ служба аварийного открывания замков,0,https://wa.me/79507430397,,79507430397, ,,,454007  Челябинск  Артиллерийский переулок  дом 3/1
ЗАМОЧНЫЙ МАСТЕР служба вскрытия и установки замков,0,,83512233078,, ,,,454091  Челябинск  проспект Ленина  дом 27-а
Альфа-Мастер,0,,83517503502,,,,,Челябинск  улица Молодогвардейцев  дом 7
Мастер,0,,83517760785,,,,,Челябинск  Шадринская улица  дом 100
Домашний мастер,0,,83517769004,,dom-master74.ru,,,Челябинск  улица Молодогвардейцев  дом 47-а
Вторчермет НЛМК,0,https://wa.me/79655400081,,79655400081,uvchm.ru,,,454012  Челябинск  улица Горелова  дом 12
ЧЕЛМЕТ компания по приему лома,0,https://wa.me/79193375994,,79193375994,,,,454010  Челябинск  Енисейская улица  дом 28/2
ПУНКТ ПРИЕМА МЕТАЛЛОЛОМА,0,https://wa.me/79124780001,,79124780001,,,,454014  Челябинск  улица Профессора Благих  дом 7  а/1
РУСМЕТ пункт приема закупа и переработки лома цветных и черных металлов,0,https://wa.me/79080592020,,79080592020, ,,,454045  Челябинск  Нефтебазовая улица  дом 1  к4
ПУНКТ ПРИЕМА ЛОМА,0,https://wa.me/79525010949,,79525010949,,,,454007  Челябинск  улица Первой Пятилетки  дом 59/4
ЭКОГРАД 74 компания по переработке вторсырья,0,,83517760347,, ,,,454053  Челябинск  Томинская улица  дом 8
ИНДУСТРИЯ компания по приему металлолома,0,,83517230372,,pkfindustriya.ru,,,454053  Челябинск  Троицкий тракт  дом 21  е
ПУНКТ ПРИЕМА ЛОМА г. Челябинск,0,,83512230951,, ,,,454008  Челябинск  Автодорожная улица  дом 5/6
РУСМЕТ пункт приема закупа и переработки лома цветных и черных металлов,0,https://wa.me/79080592020,,79080592020, ,,,454008  Челябинск  Автодорожная улица  дом 10/6
РУСМЕТ пункт приема закупа и переработки лома цветных и черных металлов,0,https://wa.me/79080592020,,79080592020, ,,,454008  Челябинск  улица Куйбышева  дом 1/2
РУСМЕТ пункт приема закупа и переработки лома цветных и черных металлов,0,https://wa.me/79080592020,,79080592020, ,,,454119  Челябинск  Енисейская улица  дом 37  в/2
РУСМЕТ пункт приема закупа и переработки лома цветных и черных металлов,0,https://wa.me/79080592020,,79080592020, ,,,454081  Челябинск  Валдайская улица  дом 4  п/3
СТК компания по приему лома,0,,83512232326,, ,,,454010  Челябинск  Енисейская улица  дом 15/1
СТК компания по приему лома,0,,83512232326,, ,,,454010  Челябинск  Енисейская улица  дом 18/3
ПУНКТ ПРИЕМА ЛОМА,0,https://wa.me/79821125665,,79821125665,,,,454008  Челябинск  улица Косарева  дом 2/2
ПУНКТ ПРИЕМА ЛОМА,0,https://wa.me/79821125665,,79821125665,,,,454038  Челябинск  шоссе Металлургов  дом 5  п/2
ПУНКТ ПРИЕМА ЛОМА,0,https://wa.me/79821125665,,79821125665,,,,454082  Челябинск  Троицкий тракт  дом 62  ф/2
ГАЗЭНЕРГОСЕРВИС,0,,83512696024,, ,,,454031  Челябинск  улица Жукова  дом 31
ЧЕЛЯБИНСКГОРГАЗ,0,,83517356425,, ,,,454031  Челябинск  улица Жукова  дом 31
РЕМСТРОЙГАЗ+ проектно-строительная фирма,0,,83512619851,,,,,454092  Челябинск  улица Курчатова  дом 6
ВАРНЕНСКИЙ ГАЗОВЫЙ УЧАСТОК,0,,83514221065,,,,,457200  Челябинская область  Варненский район  село Варна  Пионерский переулок  дом 1
КОПЕЙСКГАЗКОМ копейский филиал,0,,83515021104,,,,,456660  Челябинская область  Красноармейский район  село Миасское  улица Пионера  дом 75
ВЕСТА-ГАЗ,0,,83517962855,, ,,,454106  Челябинск  Стартовая улица  дом 34/1
"БРОДОКАЛМАКСКИЙ УЧАСТОК КОПЕЙСКОГО ФИЛИАЛА ОАО ""ЧЕЛЯБИНСКГАЗКОМ""",0,,83515031108,,,,,456684  Челябинская область  Красноармейский район  село Бродокалмак  улица Строителей  дом 16/2
ГАЗСЕРВИС,0,,83513195192,,,,,456894  Челябинская область  Аргаяшский район  село Кулуево  Советская улица  дом 16
ГАЗПРОМНЕФТЬ-ЧЕЛЯБИНСК,0,,83512463120,, ,,,454091  Челябинск  улица Свободы  дом 30
ЧЕЛЯБИНСКОБЛГАЗ,0,,83512621408,,,,,454045  Челябинск  Нефтебазовая улица  дом 1
ЧЕЛЯБИНСКРЕГИОНГАЗВАРНЕНСКИЙ УЧАСТОК,0,,83514226189,,,,,457200  Челябинская область  Варненский район  село Варна  улица Спартака  дом 20
ЧЕЛЯБИНСКГОРГАЗ,0,,83512610018,,chelgaz.ru,,,454087  Челябинск  улица Рылеева  дом 8
УРАЛГАЗСТРОЙ,0,,83512623165,, ,,,454053  Челябинск  Троицкий тракт  дом 11-г
ГАЗЭНЕРГОСЕРВИС,0,,83512515832,, ,,,454000  Челябинск  улица Гагарина  дом 40
ЧЕЛЯБИНСКГОРГАЗ,0,,83512569780,, ,,,454108  Челябинск  улица Харлова  дом 12
ГАЗ-ПРОМИНВЕСТ,0,,83517780873,, ,,,454048  Челябинск  улица Смирных  дом 9-а
ГАЗ В ДОМ,0,https://wa.me/79058353575,,79058353575,www.gazvdom74.ru,,,Челябинск  Свердловский тракт  дом 24-а
ИП ПЕЧЁРСКИХ,0,,83512718860,,,,,454074  Челябинск  улица Изобретателей  дом 45
ЧЕЛЯБТЕХГАЗ,0,,83512802568,,www.texgas.ru,,,454008  Челябинск  Производственная улица  дом 8
ЛАБОРАТОРИЯ КОНТРОЛЯ СВАРКИ,0,,88003336799,,lks24.ru,,,454080  Челябинск  улица Сони Кривой  дом 26
ГАЗОВЫЕ СИСТЕМЫ ПО,0,,83512609306,, ,,,454048  Челябинск  улица Сони Кривой  дом 73  офис 304
СЛУЖБА ГАЗОВОГО СЕРВИСА ИП Куринков Н.А.,0,https://wa.me/79634726661,,79634726661, ,,,454087  Челябинск  улица Рылеева  дом 8  1 этаж
УРАЛМОНТАЖСТРОЙ,0,https://wa.me/79087075076,,79087075076,,,,454080  Челябинск  Свердловский проспект  дом 52  3 офис
ТЕХСТРОЙКОМ строительно-монтажная компания,0,https://wa.me/79823427528,,79823427528, ,,,454008  Челябинск  Свердловский тракт  дом 33-а  2 этаж
ТОМИС монтажная компания,0,,83512237753,, ,,,454902  Челябинск  Гостевая улица  дом 3  3 офис
АГАПОВОАГРОПРОМЭНЕРГО строительно-монтажная компания,0,,83519094036,,,,,457400  Челябинская область  Агаповский район  село Агаповка  Степная улица  дом 22
ЛИТИЯ строительно-монтажная организация,0,,83512479831,,litia.ru,,,454006  Челябинск  улица 3 Интернационала  дом 58  27 офис  1 этаж
ГАЗТЕПЛОСТРОЙ строительная компания,0,,83512116129,,,,,454111  Челябинск  улица Газизуллина  дом 2-б  304 офис
УРАЛГАЗАВТОМАТИКА строительная компания,0,,83512516847,,,,,Челябинск  улица Гагарина  дом 9  415 офис  4 этаж
ПОДЗЕМНЫЕ КОММУНИКАЦИИ строительная компания,0,,83512102027,, ,,,Челябинск  улица Гагарина  дом 9  412 офис  4 этаж
СТРОИТЕЛЬНЫЕ ТЕХНОЛОГИИ,0,https://wa.me/79226987733,,79226987733,74st-ural.ru,,,454008  Челябинск  Комсомольский проспект  дом 14  504 офис  5 этаж
МЕГА многопрофильная компания,0,,83512782040,, ,,,454046  Челябинск  улица Артёма  дом 159
МЕГА многопрофильная компания,0,,83512782040,, ,,,454048  Челябинск  улица Сулимова  дом 92-в
ГАЗВЕНТПРОЕКТ торгово-монтажная фирма,0,,83517500687,,gaz74.com,,,454080  Челябинск  улица Сони Кривой  дом 58-а  6 офис
ГАЗВЕНТПРОЕКТ торгово-монтажная фирма,0,,83517500687,,gaz74.com,,,454091  Челябинск  улица Свободы  дом 74  1 офис  1 этаж
ТЕПЛОГАЗСТРОЙ строительно-монтажная фирма,0,https://wa.me/79191169250,,79191169250,tgstroy2008.ru,,,454085  Челябинск  улица Марченко  дом 7-а  8 офис
ProДвижение,0,,83512305040,,www.ra-promotion.ru,,,454084  Челябинск  улица Кирова  дом 19  офис 1104  1105
МАСТЕРСКАЯ,0,https://wa.me/79080636516,,79080636516,,,,454053  Челябинск  Троицкий тракт  дом 3-а
НЕФЕРТУМ,0,,83519035030,,frezerovka74.ru,,,454074  Челябинск  улица Героев Танкограда  дом 17
НЕФЕРТУМ,0,,83517767597,,nefertum.ru,,,454000  Челябинск  Механическая улица  дом 61
ЗОЛОТОЙ ЛАРЕЦ,0,,83512661691,,larec74.ru,,,454091  Челябинск  улица Кирова  дом 86
ВИЗУАЛЬНЫЕ КОММУНИКАЦИИ дизайнерско-производственная студия,0,,83517932692,,umts.ruprom.net,,,454138  Челябинск  улица Молодогвардейцев  дом 7
АстроЛазер,0,,83512674520,, ,http://vk.com/club61654456,,454008  Челябинск  Свердловский тракт  дом 15
ФОТОГРАВИРОВКА центр печати и гравировки,0,,83512484580,, ,http://vk.com/semerlina,,454091  Челябинск  площадь Революции  дом 1/1  ТК Никитинский
ГРАВЕР торгово-производственная фирма,0,,83519083878,,,http://vk.com/graverka74,,454091  Челябинск  улица Цвиллинга  дом 16  11 офис
74 салон печати и гравировки,0,,83512230432,, ,http://vk.com/cope_case,,454128  Челябинск  проспект Победы  дом 384  универсам Градский
ДОБРЫЙ ЗНАК арт-мастерская,0,https://wa.me/79823333700,,79823333700, ,https://vk.com/kovka_pamatniki,,454046  Челябинск  улица Гагарина  дом 45  1 этаж
РОЗОЛИТ ювелирная компания,0,,83512488448,, ,http://vk.com/sdelanonaurale  http://vk.com/tovarishchlazer,,454053  Челябинск  Троицкий тракт  дом 46-Б  1 этаж
74 салон печати и гравировки,0,,83512488448,,,,,454091  Челябинск  улица Кирова  дом 88
НОФИКС производственная фирма,0,https://wa.me/79043018813,,79043018813, ,,,454080  Челябинск  Витебская улица  дом 4  131 офис
РЕМЕСЛО художественная мастерская,0,https://wa.me/79043016273,,79043016273, ,,,454091  Челябинск  улица Пушкина  дом 73  16 офис  цокольный этаж
ЛИСТ производственная фирма,0,https://wa.me/79128978028,,79128978028,list74.tiu.ru,,,454012  Челябинск  Копейское шоссе  дом 9-п  2 этаж
НЕТ ПРОБЛЕМ сервисный центр,0,,83512482712,, ,,,454091  Челябинск  улица Труда  дом 203  -1 этаж
ЭКО СЭС,0,,88005501189,, ,http://vk.com/dezinsekciya_moscow  http://vk.com/ecosesru,,454048  Челябинск  улица Энтузиастов  дом 30
ПАРИТЕТ группа компаний,0,,83512744017,, ,,,454006  Челябинск  улица Постышева  дом 2
АЛЬТАКО группа компаний,0,,83517008047,,,,,454080  Челябинск  улица Клары Цеткин  дом 32  а
СЭСКА дезцентр,0,https://wa.me/79525277146,,79525277146,,,,454084  Челябинск  проспект Победы  дом 155  а
СИОН дезинфекционная компания,0,,83517765848,,xn----8sbckfaifjbvov4d5aj0b5l.xn--p1ai,,,454012  Челябинск  1-я Трубосварочная улица  дом 3
КЛИНИНГ-СЕРВИС 74 клининговая компания,0,,83517768049,,cleaning-service74.ru,http://vk.com/club145904074,,454006  Челябинск  улица 3 Интернационала  дом 70
СЭС-ПРО дезинфекционная компания,0,https://wa.me/79085810130,,79085810130,,,,454048  Челябинск  улица Доватора  дом 33
АБАРИЙДЕЗ центр борьбы с насекомыми и грызунами,0,https://wa.me/79514799016,,79514799016,,,,454078  Челябинск  улица Гагарина  дом 24-а
РЕГИОНАЛЬНЫЙ ЦЕНТР ДЕРАТИЗАЦИИ И ДЕЗИНСЕКЦИИ,0,https://wa.me/79080416513,,79080416513,,,,454038  Челябинск  Пекинская улица  дом 17
ГОРДЕЗСЕРВИС компания,0,https://wa.me/79080418200,,79080418200,,,,456501  Челябинская область  Сосновский район  поселок Новый Кременкуль  Центральная улица  дом 2
ДЕЗ-СЕРВИС центр борьбы с насекомыми и грызунами,0,,83517512887,, ,http://vk.com/klopam_net,,454008  Челябинск  Комсомольский проспект  дом 11
ГИГИЕНА-СЭС санитарно-эпидемиологическая служба,0,,83512236988,,,,,454078  Челябинск  улица Вагнера  дом 66
ГИГИЕНА-СЭС санитарно-эпидемиологическая служба,0,,83512236988,,,,,454129  Челябинск  улица Масленникова  дом 8
ДЕЗСЭС ЧЕЛЯБИНСК центр дезинфекции,0,,83512256229,,dezses-chl.ru,http://vk.com/dezseschel,,454091  Челябинск  улица Цвиллинга  дом 66
САВИР,0,,83512230127,, ,,,454080  Челябинск  улица Клары Цеткин  дом 26
ОГРАДА ПЛЮС центр дезинфекции,0,,83512478494,, ,http://vk.com/dezru74,,454012  Челябинск  1-я Трубосварочная улица  дом 3
ДЕНОВА торговая компания,0,,83512141188,, ,,,454008  Челябинск  Комсомольский проспект  дом 13
Зооритуал,0,,83512231676,, ,,,Челябинск  Енисейская улица  дом 1
Фото на эмали,0,https://wa.me/79080788688,,79080788688,фото-на-эмали.рф,,,Челябинск  Черкасская улица  дом 4
ЮжУралДом,0,,83512601736,,dom112.ru,,,454091  Челябинск  улица Плеханова  дом 36
ЖЭУ № 27 Тракторозаводский район,0,,83512170077,,geu27.ru,,,454077  Челябинск  переулок Мамина  дом 4  а
ЖЭУ № 2 Тракторозаводский район,0,,83512170077,,geu02.ru,,,454071  Челябинск  Передовой переулок  дом 4
ЖЭУ № 11 Тракторозаводский район,0,,83512170077,,geu11.ru,,,454071  Челябинск  Передовой переулок  дом 4
ЖЭУ-4 Тракторозаводской район,0,,83512170077,,geu04.ru,,,454081  Челябинск  улица Карпенко  дом 43
ЧЕЛЯБИНСКИЙ ТЕХНИКУМ ПРОМЫШЛЕННОСТИ И ГОРОДСКОГО ХОЗЯЙСТВА ИМ. Я.П. ОСАДЧЕГО,0,https://wa.me/79525103659,,79525103659,chtpgh.ru,,,454129  Челябинск  улица Масленникова  дом 21-а
ТСЖ ЧУРИЛОВЕЦ,0,,83512333371,, ,,,454079  Челябинск  2-я Эльтонская улица  дом 34
УПРАВЛЯЮЩАЯ КОМПАНИЯ КОНСТАНТА,0,,83512254351,,xn----7sbsql.xn--p1ai,,,454031  Челябинск  Электростальская улица  дом 15
ПЕРВАЯ УПРАВЛЯЮЩАЯ,0,,83512173384,,xn----7sbbagdq7c3aehe1b3frdihd.xn--p1ai,,,454007  Челябинск  улица Горького  дом 14
УРАЛЛИФТКОМ торговый дом,0,,83512251503,,,,,454106  Челябинск  улица Косарева  дом 79
РЕГИОНПРОМКОМПЛЕКТ монтажная компания,0,https://wa.me/79227508890,,79227508890,,,,454106  Челябинск  улица Косарева  дом 79
УРАЛЬСКАЯ ТЕПЛОСЕТЕВАЯ КОМПАНИЯ,0,,83512464000,,ustekchel.ru,,,454138  Челябинск  улица Куйбышева  дом 19-а
УРАЛЬСКАЯ ТЕПЛОСЕТЕВАЯ КОМПАНИЯ,0,,83512464000,, ,,,454078  Челябинск  улица Гончаренко  дом 91
САДОВОД-ЛЮБИТЕЛЬ 1,0,,83517962870,,lubitel1.ru,,,Челябинск  улица Чайковского  дом 22/1
УРАЛЕЦ,0,,83512360337,,vk.com/club155958651,http://vk.com/club155958651,,Челябинск  Свердловский тракт  дом 1
РАСЧЕТНЫЕ СИСТЕМЫ центр по приему населения,0,,83512170517,,vsbt174.ru,,,454046  Челябинск  улица Гагарина  дом 51
КУРОЧКИНО-2 садоводческое некоммерческое товарищество,0,https://wa.me/79000688883,,79000688883,,,,454010  Челябинск  улица Гагарина  дом 9
ЖСК ГУДОК,0,https://wa.me/79080400512,,79080400512,,,,454091  Челябинск  Российская улица  дом 266
ГАРАНТСТРОЙКОМПЛЕКС Челябинск,0,,83512009603,,chel.garantstroikompleks.ru,,,454000  Челябинск  улица Карла Маркса  дом 38
АНТАРЕС,0,https://wa.me/79080811749,,79080811749, ,http://vk.com/rk_174,,454138  Челябинск  улица Молодогвардейцев  дом 7
БРИГАДИР,0,,83512420627,,topbrigadir.ru,http://vk.com/topbrigadir,,454138  Челябинск  улица Молодогвардейцев  дом 7  офис 405
ЦЕНТР ЕВРОРЕМОНТА,0,,83517500526,, ,http://vk.com/euroremont74ru,,454091  Челябинск  улица Труда  дом 78  офис 1104
ВИПСТРОЙСЕРВИС строительная компания,0,,83512351179,, ,,,454080  Челябинск  улица Энтузиастов  дом 26  офис 307
РЕМОНТ И ОТДЕЛКА,0,https://wa.me/79525105016,,79525105016,remont-otdelka174.ru,,,454091  Челябинск  улица Труда  дом 5-а
АВАНТАЖ,0,,83517776991,,remont-kvartir74.com,,,454021  Челябинск  улица Чичерина  дом 15
ОкРЕМОНТ Челябинск,0,,83512778108,,chel.okremont.com,,,454000  Челябинск  Пионерская улица  дом 10  офис 8
ДОМ РЕМОНТА-74,0,,83512778328,,domremonta-74.ru,,,454071  Челябинск  улица Горького  дом 31  офис 307
МАСТЕР РЕМОНТА,0,,83512164756,,masterremdom.ru,,,454138  Челябинск  улица Ворошилова  дом 6-б
АртСтрой-ЮжУрал,0,,83512164756,,,,,
СФЕРА КОМФОРТА,0,,83512239321,, ,,,454014  Челябинск  Комсомольский проспект  дом 107  офис 15
КОНСТРУКТИВНЫЙ РЕМОНТ,0,,83512650736,,,,,454000  Челябинск  улица Елькина  дом 32
РЕМЖИЛПЛЮС,0,,83517725333,, ,,,454071  Челябинск  Передовой переулок  дом 4
МАГАЗИН ХОЗТОВАРОВ ИП Дегтярева И.Л.,0,https://wa.me/79823237997,,79823237997, ,,,454084  Челябинск  улица Калинина  дом 11
МАГАЗИН ХОЗТОВАРОВ ИП Дегтярева И.Л.,0,https://wa.me/79823237997,,79823237997, ,,,454038  Челябинск  улица Сталеваров  дом 72
МАГАЗИН ХОЗТОВАРОВ ИП Дегтярева И.Л.,0,https://wa.me/79823237997,,79823237997, ,,,454047  Челябинск  улица Богдана Хмельницкого  дом 18
АРТ-ПРОФИЛЬ,0,,83517763832,,,,,454904  Челябинск  Челябинская улица  дом 42
АВИМЕТ,0,,83512140152,,,,,454081  Челябинск  Механическая улица  дом 101
ТЕХСТРОЙ компания,0,,83517111336,,,,,454014  Челябинск  улица Молодогвардейцев  дом 38-а
ТЕХСТРОЙ компания,0,,83517111336,,,,,454129  Челябинск  улица Машиностроителей  дом 1/1
СТРОЙТЕХ строительная компания,0,,83517299538,,stroyteh-174.ru,,,454008  Челябинск  улица Косарева  дом 6  к5
ЧЕЛЯБХИМСТРОЙ компания,0,,83517299549,,chelhimstroy.ru,,,454038  Челябинск  улица Монтажников  дом 12  к1
МАГАЗИН САНТЕХНИКИ электрики замков,0,https://wa.me/79128093415,,79128093415,,,,454016  Челябинск  улица Братьев Кашириных  дом 105
САМ магазин,0,,,,,,,
ИЗГОТОВЛЕНИЕ КЛЮЧЕЙ,0,https://wa.me/79507263382,,79507263382, ,,,454087  Челябинск  улица Блюхера  дом 85
ЗАМКИ,0,,83512300798,,,,,454010  Челябинск  улица Гагарина  дом 6
MUL-T-LOCK,0,,83512636709,, ,,,454091  Челябинск  улица Кирова  дом 110
МАСТЕРСКАЯ ПО ИЗГОТОВЛЕНИЮ КЛЮЧЕЙ,0,,83517962038,,ключитут.рф,,,454021  Челябинск  улица Чичерина  дом 33
ОЛАНК,0,,83512621958,,www.olank.ru,,,454048  Челябинск  улица Блюхера  дом 21  3-й эт.
ИП ОСТРОУХОВ,0,,83517757079,, ,,,454074  Челябинск  Сормовская улица  дом 32
СТЕКЛО-ЗЕРКАЛО-ПЛЮС производственная фирма,0,https://wa.me/79085784727,,79085784727, ,,,454025  Челябинск  Барнаульская улица  дом 37
СИТИГЛАСС торговая компания,0,,83517970197,, ,,,454016  Челябинск  улица Братьев Кашириных  дом 87-а
РУБИН г. Челябинск,0,,83512157905,, ,,,454078  Челябинск  улица Агалакова  дом 30
РУБИН г. Челябинск,0,,83512157905,, ,,,454010  Челябинск  Копейское шоссе  дом 52-а
АРТСТЕКЛО компания по изготовлению изделий из стекла и зеркал,0,https://wa.me/79227103779,,79227103779, ,http://vk.com/artstek,,454008  Челябинск  Свердловский тракт  дом 13-а/1
МЕБЕЛЬБЫТ фабрика мебели и зеркал,0,,83512621848,, ,,,454053  Челябинск  1-я Потребительская улица  дом 6
СТЕКЛО-ЗЕРКАЛО-ПЛЮС,0,,83512704224,,,,,454081  Челябинск  Артиллерийская улица  дом 102
ЦЕНТР АРХИТЕКТУРНОГО ТОНИРОВАНИЯ,0,,83512621014,, ,,,454053  Челябинск  улица Шарова  дом 73
ЭТАЛОН,0,,83512694134,,www.sparta74.ru,,,454045  Челябинск  Станционная улица  дом 2
ЗАЗЕРКАЛЬЕ интерьерный салон,0,,83512694134,,,,,
МАГНУМ,0,,83517962802,, ,,,454138  Челябинск  проспект Победы  дом 290-в  1-й эт.
СТЕКЛОРЕЗ-ЦЕНТРАЛЬНЫЙ,0,,83512664077,,szchel.ru,,,454006  Челябинск  улица Карла Маркса  дом 28-а  бокс 44
МОРИОН,0,,83517918933,, ,,,454008  Челябинск  Цинковая улица  дом 1  корп. 2
МИР ЗЕРКАЛ,0,,83517914754,,,,,454084  Челябинск  проспект Победы  дом 177  офис 107
ЦЕНТР АРХИТЕКТУРНОГО ТОНИРОВАНИЯ,0,,83512101530,, ,,,454000  Челябинск  Ударная улица  дом 7-а
