Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес
БЫТСЕРВИС,000000000,,88129882828,, ,,,199155  Санкт-Петербург  Железноводская улица  дом 17/5
ДОКА ЦЕНТР,000000000,https://wa.me/79215626222,,79215626222,www.dokatsentr.ru,,,Ленинградская область  Ломоносовский район  поселок Новоселье  Питерский проспект  дом 7
"SEKTOR 7, сервисный центр электроники и мелкой бытовой техники",000000000,,88129920646,,sektor7.ru,,,198332  Санкт-Петербург  улица Котина  дом 5
РУКА78,000000000,https://wa.me/79811698021,,79811698021,ruka78.ru,,,191124  Санкт-Петербург  Тверская улица  дом 20
ТехноДом-Сервис,000000000,,88123171303,, ,http://vk.com/tehnodom_servis,,196084  Санкт-Петербург  Заставская улица  дом 7-а  офис 314
Общий Сервисный Центр,000000000,https://wa.me/79955775743,,79955775743,общий-сервис.рф,http://vk.com/fullservicerussia,,195271  Санкт-Петербург  улица Замшина  дом 74
Засорсервис,000000000,,88129812458,,prochistkaspb.ru,http://vk.com/zasorservisspb,,195030  Санкт-Петербург  Отечественная улица  дом 3
"AIRO, сервис бытовых услуг",000000000,,88125657695,,spb.getairo.ru,http://vk.com/getairo,,191014  Санкт-Петербург  площадь Восстания  дом 2
АЛЕГАННА,000000000,,88129202427,, ,https://vk.com/remontobuvispb  https://vk.com/bagazhtravel,,198152  Санкт-Петербург  Краснопутиловская улица  дом 21
Золотой Ключик,000000000,https://wa.me/79650977680,,79650977680,,,,192131  Санкт-Петербург  улица Бабушкина  дом 77
ТПС-78,000000000,https://wa.me/79522112003,,79522112003,78g.ru,,,191186  Санкт-Петербург  Невский проспект  дом 38/4
007 ЦЕНТР УСЛУГ,000000000,,8812007,, ,,,196105  Санкт-Петербург  проспект Юрия Гагарина  дом 1
ПЕТЕРБУРГСКАЯ РЕМОНТНАЯ СЛУЖБА,000000000,,88127770777,, ,,,196135  Санкт-Петербург  улица Фрунзе  дом 27-а
"ELIT, центр бытовых услуг",000000000,https://wa.me/79633408518,,79633408518, ,,,196070  Санкт-Петербург  улица Победы  дом 4
OK-Locks,000000000,https://wa.me/79255805895,,79255805895,nizino.ok-locks.ru,,,188501  Ленинградская область  Ломоносовский район  Центральная улица  дом 13  корпус 2
OK-Locks,000000000,https://wa.me/79255805893,,79255805893,metallostroy.ok-locks.ru,,,196641  Санкт-Петербург  поселок Металлострой  Полевая улица  дом 5
МЕХАНОБР,000000000,,,, ,,sales@npk-mt.spb.ru,199106  Санкт-Петербург  22-я линия  дом 3  корпус 5
АнВи Волхов,000000000,https://wa.me/79213332353,,79213332353,anviru.ru,,,187403  Ленинградская область  Волхов  Вокзальная улица  дом 9
Всеволожский завод алюминиевых сплавов,000000000,,88126107731,, ,,,191028  Санкт-Петербург  Фурштатская улица  дом 24-а  пом.18-Н  офис 200
ДеталиСССР,000000000,https://wa.me/79516647259,,79516647259,detaliussr.ru,http://vk.com/ussrdetali,,194356  Санкт-Петербург  проспект Энгельса  дом 126  корпус 1
РадиоЛом78,000000000,,88126290092,, ,http://vk.com/radiolom78,,198096  Санкт-Петербург  проспект Стачек  дом 67  корпус 5
Элемент-812,000000000,https://wa.me/79118125522,,79118125522,www.element-812.ru,http://vk.com/element812,,198152  Санкт-Петербург  Краснопутиловская улица  дом 65
ЛИБЕРТИ ГАЗ,000000000,,88129202531,,liberstroy.ru,https://vk.com/lsgaz,,193079  Санкт-Петербург  Октябрьская набережная  дом 104  корпус 5  строение 1
РОЛЬФ,000000000,,88129188381,, ,,,194017  Санкт-Петербург  проспект Энгельса  дом 58  офис 15
СМС,000000000,,88125787783,,www.sms-stroi.ru,,,194021  Санкт-Петербург  проспект Тореза  дом 36
ГАЗОВЫЙ ТРЕСТ,000000000,,88129008435,,gaz-trest.ru,,,195009  Санкт-Петербург  улица Михайлова  дом 17  корпус 3
МИТЕКС-КРАСНОГВАР,000000000,,88126330710,, ,,,197341  Санкт-Петербург  Коломяжский проспект  дом 33  корпус 2
Газ Технолоджи,000000000,https://wa.me/79959968371,,79959968371, ,http://vk.com/public197896473,,194233  Санкт-Петербург  проспект Тореза  дом 68-д
МИТЕКС-КРАСНОГВАР,000000000,,88126330710,, ,,,197341  Санкт-Петербург  Коломяжский проспект  дом 33  корпус 2
СНАБ-78,000000000,https://wa.me/79119247661,,79119247661, ,,,198095  Санкт-Петербург  улица Ивана Черных  дом 20
ГАЗПРОМ МЕЖРЕГИОНГАЗ САНКТ-ПЕТЕРБУРГ,000000000,,,,,,,
ТЕПЛОГАЗСЕРВИС,000000000,,88129241439,,tgs07.ru,,,196128  Санкт-Петербург  Варшавская улица  дом 23  корпус 1
ГЕФЕСТ,000000000,,88129241439,, ,,info@spb-gefest.ru,195027  Санкт-Петербург  Магнитогорская улица  дом 23  корпус 1
ТУЛАРТ,000000000,,88129036861,,www.tool-art.ru,,,197376  Санкт-Петербург  улица Профессора Попова  дом 38
СИГУРА,000000000,,88124265996,,spb-sigura.ru,https://vk.com/sigura_spb,,194292  Санкт-Петербург  2-й Верхний переулок  дом 5-И
Ltd.Termit,000000000,https://wa.me/79119774770,,79119774770,termites.ru,,,188666  Ленинградская область  Всеволожский район  поселок Мурино  проспект Авиаторов Балтики  дом 1  корпус 1
МИР ГРАВИРОВКИ,000000000,,88129567834,,mirgravirovki.ru,https://vk.com/mirgravirovki,,195196  Санкт-Петербург  Таллинская улица  дом 5
ВСЕ ВИДЫ ГРАВЁРНЫХ РАБОТ,000000000,https://wa.me/79531439606,,79531439606,graverskw.ru,http://vk.com/gorynych812,,191186  Санкт-Петербург  Невский проспект  дом 35
Апрель,000000000,https://wa.me/79633021110,,79633021110, ,,,195027  Санкт-Петербург  Пискарёвский проспект  дом 2
ЭКО СЭС,000000000,,88005501189,, ,https://vk.com/dezinsekciya_moscow,,196158  Санкт-Петербург  Пулковское шоссе  дом 40
Совтех Северо-Запад,000000000,,88123310194,, ,,,195067  Санкт-Петербург  Шафировский проспект  дом 6
НОРДВАН,000000000,,88124099266,,remontniki-vann.ru,,,197348  Санкт-Петербург  Коломяжский проспект  дом 10
ФАБРИКА РЕМОНТА,000000000,,88129201146,,фабрикаремонта.рф,,,191028  Санкт-Петербург  Литейный проспект  дом 22
Sota City,000000000,https://wa.me/79217780689,,79217780689,sota.city,https://vk.com/sotacity,,196135  Санкт-Петербург  улица Типанова  дом 25  корпус 1  строение 1
ЮТТА,000000000,,,,,https://vk.com/utta_ru,,
КВАРТИРКА,000000000,,88129989747,,spb-kvartirka.com,,,192029  Санкт-Петербург  проспект Обуховской Обороны  дом 103  корпус 2  литера А  офис 203 А/4
АРТЕЛЬ,000000000,https://wa.me/79219171700,,79219171700, ,,,196641  Санкт-Петербург  поселок Металлострой  Центральный проезд  дом 2  корпус 1  литера Б
ГЕРДА,000000000,,,,,,,
БЛИК,000000000,,,,,,blikspb@bk.ru,
"ПЕРВАЯ ЛИНИЯ, телекоммуникационная компания",000000000,,84993030001,,1lteam.ru,,,199004  Санкт-Петербург  3-я линия  дом 62
МАКРО-ГРУПП,000000000,,88126424212,, ,http://vk.com/club77905631,,"196084  Санкт-Петербург  Новорощинская улица  дом 4  БЦ ""Собрание"""
OSI TECH,000000000,,88126112507,,osi-tech.ru,,,198188  Санкт-Петербург  улица Зайцева  дом 41-а  офис 227
Нэт Бай Нэт Холдинг,000000000,,88126112507,,,,,
Могилы близких,000000000,,88122090825,,gravlov.com,,,Санкт-Петербург
Яркий Феникс,000000000,https://wa.me/79052104090,,79052104090,yarkiy-fenix.ru,http://vk.com/yarkiy_fenix_spb,,194294  Санкт-Петербург  Тихоокеанская улица  дом 18  корпус 2  строение 1
CRAZY BERT,000000000,,,,,,,
АРЕНДА КОВРОВ,000000000,,88122194433,,arendakovrov.com,,,"196650  Санкт-Петербург  Финляндская улица  дом 24-б  БЦ ""Северина""  офис 211"
"БАРС, сеть ателье",000000000,,88122194433,,,https://vk.com/bars_furs_spb  http://vk.com/bars_furs_spb  https://vk.com/bars_furs_spb  https://vk.com/bars_furs_spb  https://vk.com/bars_furs_spb  http://vk.com/bars_furs_spb  https://vk.com/bars_furs_spb  http://vk.com/bars_furs_spb  https://vk.com/bars_furs_spb  https://vk.com/bars_furs_spb  https://vk.com/bars_furs_spb,,
АТЕЛЬЕ ДОМ БЫТА,000000000,https://wa.me/79216516129,,79216516129,ateledombyta.tk,,,191000  Санкт-Петербург  Лиговский проспект  дом 79
"ЛОМБАРД ""ДЛЯ ТЕБЯ""",000000000,,,,,,,
Лензайм,000000000,,88126471231,,lenzaim.ru,,,199178  Санкт-Петербург  15-я линия  дом 76
Выгодная Скупка,000000000,https://wa.me/79650708585,,79650708585,ckypka.com,,,197374  Санкт-Петербург  Туристская улица  дом 28  корпус 1
Rusvud,000000000,https://wa.me/79516646283,,79516646283,rus-vud.ru,,,190005  Санкт-Петербург  набережная Обводного канала  дом 116-а
СтолФасад,000000000,,88126423676,,stolfasad.ru,,,193230  Санкт-Петербург  улица Крыленко  дом 2-а
АРТО,000000000,,88129273067,,www.shalinmebel.ru,,,194356  Санкт-Петербург  проспект Луначарского  дом 11  корп.3
МЕБЕЛЬ СЕРВИС,000000000,https://wa.me/79522882763,,79522882763, ,,,196620  Санкт-Петербург  Павловск  Павловское шоссе  дом 3-а
Невские,000000000,,,,nevskiekuhni.ru,https://vk.com/nevskiekuhni,info@nevskiekuhni.ru,197349  Санкт-Петербург  улица Маршала Новикова  дом 41  корпус 1  литера А  офис 8
КРАСНЫЙ СЛОН,000000000,,88129361836,, ,,,"194292  Санкт-Петербург  промзона ""Парнас""  2-й Верхний переулок  дом 5-и"
КИБЕР КУХНИ,000000000,https://wa.me/79218656788,,79218656788,vk.com/kuhni_cyber,https://vk.com/kuhni_cyber,,192102  Санкт-Петербург  улица Фучика  дом 9
ПЛАЗА-РЕАЛ,000000000,,,,,,,
FOG WOOD,000000000,,88125078730,,fogwood.ru,https://vk.com/fogwoodru,,"198216  Санкт-Петербург  Ленинский проспект  дом 140  ТВК ""Загородный дом""  2 этаж  помещение 252"
КУХНИ МЕЧТЫ,000000000,,88126058200,,mebeldizain.ru,https://vk.com/t9887388,,196084  Санкт-Петербург  набережная Обводного канала  дом 80
Напилили,000000000,https://wa.me/79215586538,,79215586538,napili-li.ru,http://vk.com/club187888844,,Ленинградская область  Всеволожский район  город Сертолово  Берёзовая улица  дом 11
СВ ВУД,000000000,https://wa.me/79219369404,,79219369404,mebelvod.ru,,,191015  Санкт-Петербург  Таврическая улица  дом 45-а  помещение 12н
Линия Стиля,000000000,,88129053535,,linstill.ru,,,194294  Санкт-Петербург  улица Первого Мая  дом 78  корпус 1  литера Б
ДорРемСтрой,000000000,https://wa.me/79214394706,,79214394706,tokarka.spb.ru,,,Санкт-Петербург  Южное шоссе  дом 49/2
"БАРС, сеть ателье",000000000,,,,,https://vk.com/bars_furs_spb  http://vk.com/bars_furs_spb  https://vk.com/bars_furs_spb  https://vk.com/bars_furs_spb  https://vk.com/bars_furs_spb  http://vk.com/bars_furs_spb  https://vk.com/bars_furs_spb  http://vk.com/bars_furs_spb  https://vk.com/bars_furs_spb  https://vk.com/bars_furs_spb  https://vk.com/bars_furs_spb,,
МАСТЕРСКАЯ ПО ИЗГОТОВЛЕНИЮ ПАМЯТНИКОВ,000000000,,88129319353,, ,https://vk.com/pamyatniki_kresty_nadgrobiya_spb,,192148  Санкт-Петербург  Железнодорожный проспект  дом 36
"ВОЗНЕСЕНИЕ, художественная мастерская по изготовлению памятников",000000000,https://wa.me/79216397026,,79216397026, ,https://vk.com/vamspb,,195112  Санкт-Петербург  улица Стахановцев  дом 4
ПАМЯТНИК-Ц,000000000,,88126037288,,pamyatnik-tsena.ru,,,196240  Санкт-Петербург  4-й Предпортовый проезд  дом 2-в
Гранитная мастерская Бориса Гладилина,000000000,,88123856354,, ,http://vk.com/pdbgru,,191002  Санкт-Петербург  улица Достоевского  дом 2/5
"КАРЕЛКАМЕНЬ, мастерская по изготовлению памятников",000000000,,88122277384,, ,,,195027  Санкт-Петербург  Якорная улица  дом 9
РИТ-ГРАНИТ,000000000,,88129253068,,rit-granit.ru,,,198332  Санкт-Петербург  улица Маршала Казакова  дом 26-а
"ОБЕЛИСК, памятники и оформление могил",000000000,,88129223602,,www.pamyatnikiobeliskspb.ru,,,194356  Санкт-Петербург  проспект Энгельса  дом 129  корпус 1
ДАНИЛА-МАСТЕР,000000000,,88122411702,, ,http://vk.com/public62449099,,195197  Санкт-Петербург  Кондратьевский проспект  дом 16
ПАМЯТНИК-78,000000000,,88129426589,, ,,,196240  Санкт-Петербург  4-й Предпортовый проезд  дом 3
ПАМЯТНИК-СПБ.РФ,000000000,https://wa.me/79218906932,,79218906932,памятник-спб.рф,,,197374  Санкт-Петербург  улица Савушкина  дом 124  корпус 1
"ART STONE MASTER, производственная компания",000000000,,88129177724,,stonemaster.spb.ru,,,197761  Санкт-Петербург  Кронштадт  Кронштадтское шоссе  дом 31
ГРАНИТНЫЕ ТЕХНОЛОГИИ КАРЕЛИИ,000000000,https://wa.me/79500211107,,79500211107, ,,,192019  Санкт-Петербург  Хрустальная улица  дом 27
АНГЕЛЪ,000000000,https://wa.me/79210917711,,79210917711,ritualangel.ru,,,Ленинградская область  Тихвин  5-й микрорайон  дом 5
Начало.Сервис,000000000,,88127010141,, ,http://vk.com/nachalo.services,,192171  Санкт-Петербург  Варфоломеевская улица  дом 6  строение 1
"СВОЙ ДОМ, жилищная управляющая компания",000000000,,88126404802,, ,,,195274  Санкт-Петербург  проспект Просвещения  дом 53  корпус 1  литера Д
УПРАВЛЯЮЩАЯ КОМПАНИЯ МОДЕРН,000000000,,88125715558,,mvcomfort.ru,,,191011  Санкт-Петербург  Садовая улица  дом 7-9-11  пом.32-Н
"ОБЩЕСТВО ВЗАИМНОГО ДОВЕРИЯ, управляющая компания",000000000,,88126763400,, ,,,192029  Санкт-Петербург  проспект Обуховской Обороны  дом 86-к
КЛАБРЕНТАЛС,000000000,,88127704430,, ,,,191186  Санкт-Петербург  Миллионная улица  дом 27  офис 45
АЛЕГАННА,000000000,,88129202427,, ,https://vk.com/remontobuvispb  https://vk.com/bagazhtravel,,198152  Санкт-Петербург  Краснопутиловская улица  дом 21
AVENT INN,000000000,,88129202427,,,,,
РАДУШНЫЙ ПРИЕМ,000000000,https://wa.me/79643970063,,79643970063,радушныйприем.рф,,,198188  Санкт-Петербург  Броневая улица  дом 6
"К 50, ателье-химчистка",000000000,https://wa.me/79500431847,,79500431847,atelie.spb.ru,https://vk.com/atelie_gorkovskaya  https://vk.com/atelie_orion,,192238  Санкт-Петербург  улица Белы Куна  дом 16  корпус 4  литера Б
АЛЕГАННА,000000000,,88129202427,, ,https://vk.com/remontobuvispb  https://vk.com/bagazhtravel,,198152  Санкт-Петербург  Краснопутиловская улица  дом 21
"ТЕПЛОТЕХНИКА СПБ, торговая компания",000000000,,88126425894,, ,,,196135  Санкт-Петербург  улица Типанова  дом 16  1 этаж  вход со двора
ТЕПЛОРАЙ,000000000,,88129887188,, ,,,188660  Ленинградская область  Всеволожский район  Шоссейная улица  дом 38
ИСТОЧНИК,000000000,https://wa.me/79650981883,,79650981883, ,https://vk.com/kolodeec,,195009  Санкт-Петербург  улица Комиссара Смирнова  дом 4  корпус 2
МЕХУБОРКА,000000000,,88126773047,, ,https://vk.com/mehuborkarus,,196210  Санкт-Петербург  Штурманская улица  дом 7-а
ГРИНТЭК,000000000,,88123244107,, ,,,192012  Санкт-Петербург  проспект Обуховской Обороны  дом 120-л  БЦ «Александровский»  офис 206
ВЫВОЗ 1,000000000,,88124163219,,musora-bolshe-net.ru,,,193079  Санкт-Петербург  Октябрьская набережная  дом 102
Профи Вывоз,000000000,https://wa.me/79995311327,,79995311327,profi-vyvoz.ru,,,198216  Санкт-Петербург  Ленинский проспект  дом 140
ЮТТА,000000000,,,,,https://vk.com/utta_ru,,
"HOME, многофункциональное агентство недвижимости",000000000,,88124261012,, ,http://vk.com/mfa_home,,191036  Санкт-Петербург  Полтавская улица  дом 5/29  328 офис  3 этаж
СЕРВИС-С,000000000,,88129582777,, ,,,188320  Ленинградская область  Гатчинский район  город Коммунар  Клубный переулок  дом 2
Отделение почтовой связи № 427,000000000,,88125558576,, ,,,195427  Санкт-Петербург  Светлановский проспект  дом 36  корпус 3
МЕТРОХИМ,000000000,,88125558576,, ,,info@metrochim.ru,198207  Санкт-Петербург  проспект Стачек  дом 100-К
ПОХОРОННЫЙ ДОМ №1,000000000,,88124253501,,rityal.pro,,,196158  Санкт-Петербург  Московское шоссе  дом 25  корпус 1
Гвоздика,000000000,,88126057614,,gvozdikaspb.ru,https://vk.com/ra_gvozdika,,196135  Санкт-Петербург  улица Типанова  дом 18
РИТУАЛ,000000000,,88126057614,,,,,
Городская Ритуальная Служба,000000000,,88007077511,,spb.gsritual.info,,,Санкт-Петербург
Городская Ритуальная Служба,000000000,,88129820045,, ,,,197374  Санкт-Петербург  улица Савушкина  дом 115  корпус 4
"ДОМ КАМНЯ-САНКТ-ПЕТЕРБУРГ, производственная компания",000000000,,88005554757,,www.domkam.ru,,,193079  Санкт-Петербург  Дальневосточный проспект  дом 100-а
РАССАДА.РУ,000000000,,88005554757,,,,,
"ФАВН, питомник хвойных растений",000000000,,88005554757,,,http://vk.com/club31476570  https://vk.com/lavlavka,,
"АЛЕКСЕЕВСКАЯ ДУБРАВА, питомник растений",000000000,,88123000033,, ,http://vk.com/alekseevskaia_dubrava,,Ленинградская область  Гатчинский район  деревня Малая Ивановка  дом 50
"СЭС, уничтожение клопов",000000000,,88123184989,, ,,,"192236  Санкт-Петербург  Софийская улица  дом 14  корпус 2-б  ДЦ ""Софийский"""
СЭС,000000000,,88123892968,,dezinfector.spb.ru,,,197349  Санкт-Петербург  улица Маршала Новикова  дом 41  корпус 1
АСКОР,000000000,https://wa.me/79219341145,,79219341145, ,https://vk.com/askor_stroy,,191040  Санкт-Петербург  улица Марата  дом 40
САНТЕХНИК САНКТ-ПЕТЕРБУРГ,000000000,,88124094550,,sankt-peterburg.santehnikoff.com,http://vk.com/profsantehnikspb  http://vk.com/club120705463,,191025  Санкт-Петербург  Невский проспект  дом 98
САНТЕХНИК СПб,000000000,,88124252416,,santehnik24.com,http://vk.com/profsantehnikspb  http://vk.com/club120705463,,191025  Санкт-Петербург  Невский проспект  дом 68
Монтёр,000000000,,88005550035,,monter-spb.ru,https://vk.com/montersbp,,199155  Санкт-Петербург  проспект КИМа  дом 4-а  офис 8
"СИНЯЯ ПТИЦА, брачное агентство",000000000,,88127038345,, ,http://vk.com/club4929525,,190031  Санкт-Петербург  Гороховая улица  дом 53
"Dr.Svat, онлайн-агентство знакомств",000000000,https://wa.me/79204004420,,79204004420,drsvat.com,,,191167  Санкт-Петербург  Невский проспект  дом 153  Коворкинг Практик
Единая справочная служба ритуальных услуг Санкт-Петербург,000000000,,88124073939,,,,,Санкт-Петербург
ЭНЕРДЖИ,000000000,,88124073939,,kamstrupspb.ru,,klushin@kamstrupspb.ru,190103  Санкт-Петербург  8-я Красноармейская улица  дом 6-а/5
СПЕЦПРИБОРСЕРВИС,000000000,,88122973536,, ,,,194021  Санкт-Петербург  Политехническая улица  дом 6
РСТ ЭНЕРДЖИ,000000000,,88124554600,, ,,,195221  Санкт-Петербург  Антоновская улица  дом 14  корпус 2
УниверсалГазСервис,000000000,,88126004515,, ,,,192102  Санкт-Петербург  улица Самойловой  дом 5
ЧУЧЕЛО-АРТ,000000000,,88129003030,,www.chuchelo-art.ru,https://vk.com/chucheloart,,197372  Санкт-Петербург  Комендантский проспект  дом 9  корпус 2
"MYTAXIDERM.RU, студия таксидермии",000000000,https://wa.me/79312888159,,79312888159,,,,196084  Санкт-Петербург  Лиговский проспект  дом 256
СЕВЕРНАЯ,000000000,,,, ,https://vk.com/nord_company,mail@nordcompany.ru,188661  Ленинградская область  Всеволожский район  Кооперативная улица  дом 20-б
ТРУБЫ В ППУ ИЗОЛЯЦИИ,000000000,,88123372454,,www.teploenergoplast.ru,,,198097  Санкт-Петербург  проспект Стачек  дом 37
ТРУБОЧИСТ,000000000,,88127102508,, ,,,192029  Санкт-Петербург  улица Ольминского  дом 10-а
ДЕЛИКАТ КЛИНИНГ,000000000,,88124244811,,delicate-clean.ru,,,198035  Санкт-Петербург  Невельская улица  дом 8
ЧИСТОДЕЙ,000000000,,88122131065,, ,http://vk.com/club207386991,,191119  Санкт-Петербург  Звенигородская улица  дом 24
HelpClean,000000000,,88127038438,, ,https://vk.com/ihelpclean,,191167  Санкт-Петербург  улица Александра Невского  дом 3
ГРАНД,000000000,https://wa.me/79219454016,,79219454016,www.grand-clean.com,https://vk.com/grandclean_spb,,196084  Санкт-Петербург  Цветочная улица  дом 33
Биоклининг24,000000000,,88129202850,,biocleaning24.ru,,,191186  Санкт-Петербург  Кирпичный переулок  дом 5
ВЕРНЫЙ ВЫБОР,000000000,https://wa.me/79992212890,,79992212890, ,,,194354  Санкт-Петербург  Учебный переулок  дом 2
Технология чистоты,000000000,https://wa.me/79692145644,,79692145644,www.supercleanspb.ru,https://vk.com/id693767747,,193315  Санкт-Петербург  проспект Большевиков  дом 64  литера A  корпус 7
VMV,000000000,,88007759193,,vmv-sc.ru,http://vk.com/vmvsc,,197341  Санкт-Петербург  Коломяжский проспект  дом 36/2
AlpinClean,000000000,https://wa.me/79858400013,,79858400013,alpin-clean.ru,,,191002  Санкт-Петербург  Владимирский проспект  дом 23
CleanON,000000000,,88127010403,,cleanon-spb.ru,,,198095  Санкт-Петербург  улица Ивана Черных  дом 29-а
"ЧИСТЫЙ ГОРОД, торговая компания",000000000,,88126330964,, ,,,194223  Санкт-Петербург  улица Курчатова  дом 9
ГАБАРИТ,000000000,,88126220407,, ,,,194100  Санкт-Петербург  улица Александра Матросова  дом 4  корпус 2  литера Д
"КЛИАР, техника Karcher",000000000,,88124253156,, ,,,197348  Санкт-Петербург  Богатырский проспект  дом 10
ФотоDok,000000000,,88124253156,,,http://vk.com/fotoshop_gifts,,
SPBPRINTER,000000000,,88126428240,,spbprinter.ru,,,195253  Санкт-Петербург  проспект Энергетиков  дом 70  корпус 6
КОПИФОТО,000000000,https://wa.me/79522899900,,79522899900,copyphoto-petergof.business.site,http://vk.com/copyphoto9,,198504  Санкт-Петербург  Петергоф  Петергофская улица  дом 6/1
ФОТО-КОПИ-ЦЕНТР,000000000,https://wa.me/79650770777,,79650770777,,,,192029  Санкт-Петербург  проспект Елизарова  дом 12
FotoVideoKUB,000000000,,88123325322,,www.fotovideokub.ru,,,191186  Санкт-Петербург  набережная канала Грибоедова  дом 25-а
"LEONA STAGE, фотостудия",000000000,,88126464764,,www.leonastage.ru,https://vk.com/leonastage_photostudio  http://vk.com/lily_studio,,190020  Санкт-Петербург  Старо-Петергофский проспект  дом 34  корпус 407
ФОТОСТУДИЯ СЕРГЕЯ МАТЮНИНА,000000000,https://wa.me/79006267336,,79006267336,photocrew.ru,https://vk.com/spb_photos,,195196  Санкт-Петербург  Рижская улица  дом 5  корпус 1
"ТОП-КАДР, компания профессиональной оцифровки",000000000,,88126034906,,www.topkadr.com,https://vk.com/ocifrovka.topkadr,,Санкт-Петербург
СФЕРА,000000000,https://wa.me/79117652255,,79117652255,vk.com/sferaspb_2021,https://vk.com/sferaspb_2021  https://vk.com/club17189755,,197374  Санкт-Петербург  улица Савушкина  дом 131-А
"IPBER.RU, фотоцентр",000000000,,88129818138,,ipber.ru,,,197372  Санкт-Петербург  улица Ильюшина  дом 3  корпус 1
МЕТРОХИМ,000000000,,88129818138,, ,,info@metrochim.ru,198207  Санкт-Петербург  проспект Стачек  дом 100-К
"AIRO, сервис бытовых услуг",000000000,,88125657695,,spb.getairo.ru,http://vk.com/getairo,,191014  Санкт-Петербург  площадь Восстания  дом 2
"К 50, ателье-химчистка",000000000,https://wa.me/79500431847,,79500431847,atelie.spb.ru,https://vk.com/atelie_gorkovskaya  https://vk.com/atelie_orion,,192238  Санкт-Петербург  улица Белы Куна  дом 16  корпус 4  литера Б
ДОБРЫЙ МАСТЕР,000000000,,88129540981,,ремонтхолодильников.su,,,194356  Санкт-Петербург  проспект Луначарского  дом 11
Технологическое присоединение и подключение электричества,000000000,https://wa.me/79217936981,,79217936981,tekhpris.ru,https://vk.com/podklyuchenie_ehlektrichestva,,197183  Санкт-Петербург  Школьная улица  дом 6
ЭНЕРГОСЕРВИС,000000000,,88124587575,, ,,,195197  Санкт-Петербург  Полюстровский проспект  дом 39
ПЕТЕРБУРГСКАЯ СБЫТОВАЯ КОМПАНИЯ,000000000,,88123204575,, ,http://vk.com/svet,,195009  Санкт-Петербург  улица Михайлова  дом 11
ЭНРОСА,000000000,,88126444358,, ,,,197341  Санкт-Петербург  Афонская улица  дом 2
ЭнергоСеть,000000000,,88126484750,,en-set.ru,,,"197374  Санкт-Петербург  Торфяная дорога  дом 7-ф  БЦ ""Гулливер-2"""
КБЕ,000000000,,88123098105,,eps-group.company,,,198097  Санкт-Петербург  улица Трефолева  дом 4  корпус 1  литера А
АЛЬТЭНЕРГО,000000000,,88123200518,,altenergo.biz,,,Санкт-Петербург
ЦЕНТР АТТЭК,000000000,,88003332540,, ,,,191036  Санкт-Петербург  2-я Советская улица  дом 27/2  3-й эт.
"SERCONS, компания",000000000,,88123091689,,www.serconsrus.ru,,,190068  Санкт-Петербург  Никольский переулок  дом 4  мансардный этаж
"ЛОМБАРД ""ДЛЯ ТЕБЯ""",000000000,,88123091689,,,,,
Ювелирная мастерская,000000000,,88126699637,, ,,,195196  Санкт-Петербург  Рижская улица  дом 3
"БАРМАЛЕЕВА, ювелирная мастерская",000000000,,88122321767,, ,https://vk.com/barmaleevaworkshop  http://vk.com/club_glyanec78,,197136  Санкт-Петербург  П.С.  Малый проспект  дом 71
АРКАТ,000000000,,88003503893,, ,https://vk.com/arkatllc,,191104  Санкт-Петербург  улица Короленко  дом 7  офис 2
СПЕЦГАЗ,000000000,,88124954243,,rosspecgaz.ru,,,194292  Санкт-Петербург  Парнас  6-й Верхний переулок  дом 12-а  офис 405
ТЕРМОНИКА,000000000,,88124954243,, ,,termonika@yandex.ru,"194100  Санкт-Петербург  Выборгская набережная  дом 55  Завод ""Оккервиль""  офис 206"
Современные Системы Автоматизации,000000000,https://wa.me/79219524331,,79219524331,ma-sys.ru,http://vk.com/o_vent,,195253  Санкт-Петербург  улица Маршала Тухачевского  дом 4-в
"СПИК СЗМА, АО",000000000,,88126107879,,www.szma.com,,,"199026  Санкт-Петербург  26-я линия  дом 15  корпус 2  БЦ ""Биржа"""
АСКОН - СЕВЕРО-ЗАПАД,000000000,,88127033933,, ,,,Санкт-Петербург  улица Одоевского  дом 5-а
ИТВОРКС,000000000,,88124071460,, ,,,"197101  Санкт-Петербург  улица Мира  дом 3  БЦ ""Троицкий""  офис 232"
СЕВЕРНАЯ,000000000,,88124071460,, ,https://vk.com/nord_company,mail@nordcompany.ru,188661  Ленинградская область  Всеволожский район  Кооперативная улица  дом 20-б
АЭРОБОКС,000000000,,88005007988,, ,,,190005  Санкт-Петербург  1-я Красноармейская улица  дом 12
СЕПТИКДОМ,000000000,,88123857383,,septikdom.com,,,196158  Санкт-Петербург  Московское шоссе  дом 25  корпус 1
КОЛОМАКИ ПИЕТАРИ,000000000,,88123091846,,,,,"197341  Санкт-Петербург  улица Аккуратова  дом 13  БЦ ""Долина роз""  оф.4-4-а"
Юнид Эко,000000000,https://wa.me/79818003467,,79818003467,septik-unid.ru,http://stochnih-vod.net.vk.com,,"191317  Санкт-Петербург  площадь Александра Невского  дом 2  БЦ ""Москва""  подъезд № 3  5-й эт.  офис 5030  вход с Синопской наб."
