Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес,,
ИМПУЛЬС-ЦЕНТР  торгово-монтажная компания,0,,88314239853,,www.impuls-centr.tiu.ru,,,603086  Нижний Новгород  улица Стрелка  дом 4-Б  корпус 1  13 офис  2 этаж,,
НИЖСПЕКО  монтажная компания,0,,88314243624,, ,,,603123  Нижний Новгород  улица Героя Шнитникова  дом 3,,
ИНТЕРФАРМ  торгово-производственная компания,0,,88312135526,,,,,603005  Нижний Новгород  улица Нестерова  дом 33,,
ТЕПЛОЛЮКС  торгово-производственная компания,0,,88314290296,, ,https://vk.com/teploluxeru,,"603009  Нижний Новгород  проспект Гагарина  дом 39  ТЦ ""Швейцария""",,
СПЕЦГРУПП  торгово-производственная компания,0,,88314290829,, ,,,603028  Нижний Новгород  Базовый проезд  дом 1,,
СТРОЙМИР  сеть магазинов товаров для дома,0,https://wa.me/79100068456,,79100068456,,,,603142  Нижний Новгород  Мончегорская улица  дом 18/2,,
ИНСАН  торговая компания,0,,88314236377,,www.инсан-нн.рф,,,603141  Нижний Новгород  улица Геологов  дом 3,,
ТЕПЛОСЕРВИС52,0,,88312305009,, ,,,603107  Нижний Новгород  проспект Гагарина  дом 121-б,,
КМК-СТРОЙ ИНЖИНИРИНГ  строительная компания,0,,88314352177,, ,,,603146  Нижний Новгород  Юбилейная улица  дом 2,,
ЭНЕРГО Н  компания,0,,88312128456,, ,,,603115  Нижний Новгород  улица Ломоносова  дом 9,,
ЛИСТПРОМ,0,,88005514943,,nizhniy-novgorod.list-prom.com,http://vk.com/listprom,,603028  Нижний Новгород  Московское шоссе  дом 52,,
НОВЫЙ ГОРИЗОНТ  ремонтная компания,0,,88005119019,,novyi-gorizont.ru,,,603001  Нижний Новгород  Рождественская улица  дом 11-13,,
САН-ТЕХ.рф,0,https://wa.me/79202987393,,79202987393,сан-тех.рф,,,Нижний Новгород  Фучика   дом 6-а,,
АКВАСЕРВИС,0,,88314155942,,akvaservis-ooo-fart.tiu.ru,,,603011  Нижний Новгород  улица Октябрьской Революции  дом 39,,
GOROSKOPER  клуб знакомств,0,https://wa.me/79506142432,,79506142432,svat-astrolog.ru,http://vk.com/goroskoper2000,,603106  Нижний Новгород  Советская площадь  дом 5,,
ВИЗАВИ  агентство ,0,,88314138103,, ,http://vk.com/ecznn,,603006  Нижний Новгород  улица Невзоровых  дом 39  офис 2,,
ZLATA,0,,88314365310,,,http://vk.com/ecznn,,603000  Нижний Новгород  улица Костина  дом 6  корпус 1,,
NIZHNY NOVGOROD MARRIAGE AGENCY,0,,88314177991,, ,,,603005  Нижний Новгород  Кузнечихинская улица  дом 100  офис 46,,
СОЮЗ СЕРДЕЦ,0,,88314138531,,,,,603043  Нижний Новгород  улица Поющева  дом 11,,
ДИКАЯ ЛЮБОВЬ+РОСЛИК  клуб знакомств,0,,88314146945,,,http://vk.com/ecznn,,603057  Нижний Новгород  Светлогорский переулок  дом 13  вход с торца,,
ЭПИЦЕНТР  клуб знакомств,0,,88314103803,, ,,,603001  Нижний Новгород  площадь Маркина  дом 3  7 офис,,
ЕВРОПЕЙСКИЙ ЦЕНТР ЗНАКОМСТВ,0,,88312837775,,vk.com/ecznn,http://vk.com/ecznn,,603105  Нижний Новгород  Гужевая улица  дом 42  7 офис,,
ОСТРОВ ЛЮБВИ  брачное агентство,0,,88314237074,,loveostrov.ru,,,603000  Нижний Новгород  Большая Покровская улица  дом 60  32 офис  2 этаж,,
С ПЕРВОГО ВЗГЛЯДА  клуб экспресс-знакомств,0,,88314135151,,spv-club.ru,,,603105  Нижний Новгород  Агрономическая улица  дом 119/11  1 этаж,,
Международное брачное агентство,0,,88314130789,, ,https://vk.com/zhakomstvain,,603022  Нижний Новгород  улица Тимирязева  дом 43,,
БРАЧНОЕ СЕМЕЙНОЕ АГЕНТСТВО ИМ. СВЯТЫХ КНЯЗЯ ПЕТРА И КНЯГИНИ ФЕВРОНИИ,0,https://wa.me/79302783649,,79302783649,xn--80ab5bj.xn--p1ai,http://vk.com/ecznn,,603137  Нижний Новгород  улица Маршала Жукова  дом 24,,
Нижегородский территориальный центр медицины катастроф,0,,88312509401,, ,,,603029  Нижний Новгород  Памирская улица  дом 13,,
Главное управление МЧС России по Нижегородской области,0,,88312960708,, ,,,603000  Нижний Новгород  Фруктовая улица  дом 6,,
Аварийно-спасательный отряд МЧС РФ по Нижегородской области,0,,88314328946,,,,,603005  Нижний Новгород  набережная Гребного канала  дом 2-а,,
ВОЛОНТЁР,0,,88312915151,,www.poiskdetei52.ru,,,603004  Нижний Новгород  проспект Ленина  дом 117,,
ДВЕРНОЙ ДОКТОР,0,,88314164059,, ,,,"603014  Нижний Новгород  улица Коминтерна  дом 11  ТЦ ""Индиго""",,
ВОЛОНТЕР  добровольческий поисково-спасательный отряд,0,,88312915151,, ,,,606016  Нижний Новгород  проспект Ленина  дом 117,,
ПОЧТА РОССИИ  справочная служба,0,,88005552151,, ,,,Нижний Новгород,,
2ГИС,0,,88314678080,,www.2gis.ru,,,"603140  Нижний Новгород  Мотальный переулок  дом 8  офис В 400  БЦ ""Бугров Бизнес Парк""",,
НИЖНИЙ НОВГОРОД  железнодорожный вокзал,0,,88007750000,, ,,,603002  Нижний Новгород  площадь Революции  дом 2-а,,
СТРИГИНО  международный аэропорт -  Нижний Новгород,0,,88001000333,, ,,,603069  Нижний Новгород  улица Стригино  дом 1,,
Автомобильная справочная служба,0,https://wa.me/79601901111,,79601901111,avtospravka52.ru,,,603028  Нижний Новгород  Базовый проезд  дом 1-б  офис 8,,
ПОИСК  бесплатная телефонная справочная,0,,88314111111,,www.4111111.ru,,,603155  Нижний Новгород  улица Минина  дом 29,,
ЧТО? ГДЕ? ПОЧЁМ?,0,,88312740074,, ,,,603167  Нижний Новгород  улица Маршала Казакова  дом 3,,
АВТОХЛАМУ.НЕТ,0,,88312740074,,,,,Нижний Новгород,,
НАРУЛЕ.РУ,0,,88312740074,,,,,Нижний Новгород,,
AUTO52.NET,0,,88312740074,,,,,Нижний Новгород,,
Телефон доверия  ГУ МВД России по Нижегородской области,0,,88312686868,,52.mvd.ru,,,Нижний Новгород,,
МАМОНТЁНОК  школа по подготовке и сопровождению приёмных родителей,0,,88314358865,,www.detdom6.ru,,,603136  Нижний Новгород  улица Маршала Малиновского  дом 1,,
ПОИСКЛЕКАРСТВ.РУ,0,,88007001919,,www.poisklekarstv.ru,,,Нижний Новгород,,
Детский телефон доверия,0,,88314222880,, ,,,603093  Нижний Новгород  Деловая улица  дом 9,,
Изолятор временного содержания подозреваемых и обвиняемых  ГУ МВД России по Нижегородской области,0,,88312685547,,,,,603098  Нижний Новгород  Артельная улица  дом 1-а,,
СЕННАЯ  автостанция,0,,88314361513,,,,,603024  Нижний Новгород  Большая Печёрская улица  дом 84,,
Экстренная психологическая помощь по телефону,0,,88314195000,,,,,Нижний Новгород,,
ЭКОНОМ,0,,88003338799доб.350,,eckonom.ru,,,Нижний Новгород,,
СИГАЗ  компания,0,,88312205937,, ,,,603107  Нижний Новгород  проспект Гагарина  дом 178,,
ВОДОМЕР-НН,0,,88314144382,, ,,,603057  Нижний Новгород  проспект Гагарина  дом 27-а  офис 704,,
УНИВЕРСАЛ,0,,88314699002,, ,,,603950  Нижний Новгород  проспект Гагарина  дом 174,,
ИНТЭС,0,,88312956080,, ,,,603043  Нижний Новгород  улица Поющева  дом 17  офис 56,,
АЛЬЯНС ЭНЕРГО,0,,88314155120,, ,,,603053  Нижний Новгород  проспект Бусыгина  дом 1,,
ТЕПЛОТЕХНИКА,0,https://wa.me/79101383050,,79101383050, ,,,603000  Нижний Новгород  Малая Покровская улица  дом 24/6,,
СТАРГ,0,,88314115580,, ,,,603086  Нижний Новгород  улица Стрелка  дом 21  2-й эт.,,
КВАНТ,0,,88314115580,,,,,,,
ГОРЭНЕРГОУЧЁТ,0,,88312221291,, ,,,603003  Нижний Новгород  улица Васенко  дом 4,,
МЕТАКОМ-СЕРВИС,0,,88312180201,,,,,603070  Нижний Новгород  Мещерский бульвар  дом 7  корпус 3,,
СЧЁТЭНЕРГОМАШ,0,,88314159087,,www.999888.ru,,,603141  Нижний Новгород  улица Геологов  дом 1-АА,,
НИЖНОВТЕХСЕРВИС,0,,88312160516,, ,,,603034  Нижний Новгород  Комсомольское шоссе  дом 2-а  офис 37,,
САЯНЫ,0,,88314103192,, ,,,603034  Нижний Новгород  Кировская улица  дом 16,,
HELPER,0,,88314290579,,www.gc-helper.ru,,,603116  Нижний Новгород  Гордеевская улица  дом 59-а  корпус 7,,
ПАРТНЁР-ЭЛЕКТРО,0,,88314321000,, ,,,603000  Нижний Новгород  Яблоневая улица  дом 16,,
СМК-НОВАТОР,0,https://wa.me/79527833387,,79527833387, ,,,603047  Нижний Новгород  улица Люкина  дом 6,,
Давай починим,0,https://wa.me/79063608060,,79063608060,vk.com/davai_pochinim,https://vk.com/davai_pochinim,,603011  Нижний Новгород  улица Рубо  дом 7,,
СПЕЦТРАНССТРОЙ,0,,88314130486,,www.miz-nn.ru,,,603001  Нижний Новгород  Рождественская улица  дом 39,,
УНИВЕРСАЛ-ИНВЕСТ,0,,88312776010,, ,,,603086  Нижний Новгород  бульвар Мира  дом 14,,
НИЖЕГОРОДТЕПЛОГАЗ  компания,0,,88314698001,, ,,,603057  Нижний Новгород  проспект Гагарина  дом 27-а  корпус 1  9-й эт.,,
ИНТЭС,0,,88312956080,, ,,,603043  Нижний Новгород  улица Поющева  дом 17  офис 56,,
НОВАТЕРМЭНЕРГОСТРОЙ,0,,88314636031,, ,,,603105  Нижний Новгород  Артельная улица  дом 78/83,,
Центральная аварийно-диспетчерская служба,0,,88312779131,, ,,,603086  Нижний Новгород  бульвар Мира  дом 14,,
ТЕПЛОВОЙ ПУНКТ № 44 МП НИЖЕГОРОДСКОГО РАЙОНА ТЕПЛОЭНЕРГО,0,,88314324601,,,,,603163  Нижний Новгород  улица Германа Лопатина  дом 14,,
ТЕПЛОВОЙ ПУНКТ МП МОСКОВСКОГО РАЙОНА ТЕПЛОЭНЕРГО,0,,88312742504,,,,,603000  Нижний Новгород  поселок Левинка  дом 51,,
КОТЕЛЬНАЯ МП ПРИОКСКОГО РАЙОНА ТЕПЛОЭНЕРГО,0,,88314651425,,,,,603081  Нижний Новгород  улица Терешковой  дом 7,,
КОТЕЛЬНАЯ МП ПРИОКСКОГО РАЙОНА ТЕПЛОЭНЕРГО,0,,88314654132,,,,,603009  Нижний Новгород  проспект Гагарина  дом 156,,
КОТЕЛЬНАЯ МП СОРМОВСКОГО РАЙОНА ТЕПЛОЭНЕРГО,0,,88312252363,,,,,603087  Нижний Новгород  улица Циолковского  дом 5,,
КОТЕЛЬНАЯ МП НИЖЕГОРОДСКОГО РАЙОНА ТЕПЛОЭНЕРГО,0,,88314334173,,,,,603000  Нижний Новгород  Большая Покровская улица  дом 32,,
ТЕПЛОВОЙ ПУНКТ МП НИЖЕГОРОДСКОГО РАЙОНА ТЕПЛОЭНЕРГО,0,,88314379762,,,,,603000  Нижний Новгород  улица Максима Горького  дом 28,,
ТЕПЛОВОЙ ПУНКТ № 67 МП СОВЕТСКОГО РАЙОНА ТЕПЛОЭНЕРГО,0,,88314670313,,,,,603136  Нижний Новгород  улица Ванеева  дом 116-а,,
КОТЕЛЬНАЯ МП ПРИОКСКОГО РАЙОНА ТЕПЛОЭНЕРГО,0,,88314289461,,,,,603089  Нижний Новгород  улица Бориса Панина  дом 7-б,,
"ТЕПЛОВОЙ ПУНКТ ОАО ""НАГОРНЫЙ ТЕПЛОЭНЕРГО""",0,,88314367874,,,,,603000  Нижний Новгород  улица Белинского  дом 89,,
КОТЕЛЬНАЯ МП СОВЕТСКОГО РАЙОНА ТЕПЛОЭНЕРГО,0,,88314363528,,,,,603105  Нижний Новгород  улица Бориса Панина  дом 19-б,,
ДЭУ ЭНЕРТЕК НН,0,,88312302008,, ,,,603098  Нижний Новгород  Артельная улица  дом 29-а  офис 325,,
НИЖНОВТЕПЛОЭНЕРГО,0,,88312400970,,,,,603011  Нижний Новгород  проспект Ленина  дом 2,,
ВОЛГОЭЛЕКТРОСЕТЬ-НН,0,,88312118134,,www.ves-nn.com,,,603107  Нижний Новгород  проспект Гагарина  дом 176  5-й эт.,,
НХТО  нижегородское химико-технологическое объединение,0,,88312483131,,,,,603059  Нижний Новгород  Витебская улица  дом 46,,
СПЕЦИНВЕСТПРОЕКТ,0,,88312118096,,www.si-proekt.ru,,,603009  Нижний Новгород  проспект Гагарина  дом 176-а  офис 511  5-й эт.,,
Альба,0,,88312199557,,ici-steam.ru,,,Нижний Новгород  улица Мира  дом 8-б,,
ТехЭксперт,0,,88312136265,, ,,,Нижний Новгород  Комсомольское шоссе  дом 5,,
Альба парогенераторы,0,,88312310733,, ,,,Нижний Новгород  Стрелковая улица  дом 81-а,,
ПрофЭнКом,0,,88312915521,,pekpro.ru,,,Нижний Новгород  улица Родионова  дом 165  корпус 8,,
СтанТехно,0,,88314232614,,stantehno.ru,,,Нижний Новгород  проспект Гагарина  дом 101  корпус 5,,
МОДНИЦА  ателье,0,,88314133413,, ,,,603062  Нижний Новгород  Горная улица  дом 52,,
МАВИ,0,,88314137626,,www.mavinn.ru,http://vk.com/club82746333,,603006  Нижний Новгород  улица Ванеева  дом 3,,
ЦАРИЦА,0,,88314344275,,www.carica-nn.ru,,,603109  Нижний Новгород  Ильинская улица  дом 57,,
GLAMOUR,0,,88314344275,,,http://vk.com/jdsworld,,,,
ЛАЙМ,0,,88312207922,,lime.12ru.ru,,,603024  Нижний Новгород  улица Белинского  дом 61  корпус 1,,
МОДЕРАДО,0,,88314199071,,,,,603005  Нижний Новгород  Ошарская улица  дом 10,,
СТУДИЯ ОЛЬГИ ФАДЕЕВОЙ,0,,88314199364,,folgamoda.ru,http://vk.com/remont52nn,,603006  Нижний Новгород  улица Академика Блохиной  дом 3  цокольный эт.,,
ВЛАДА,0,,88314159724,, ,,,603116  Нижний Новгород  Тонкинская улица  дом 7-а,,
BUTIKO,0,,88314284040,,,http://vk.com/bravissimo152,,603022  Нижний Новгород  улица Белинского  дом 110,,
МЕТЕЛИЦА,0,,88312785044,,,,,603022  Нижний Новгород  улица Ванеева  дом 13,,
АННА,0,,88314140612,,,,,603005  Нижний Новгород  Алексеевская улица  дом 43,,
ДУЭТ  ателье,0,,88314618885,, ,,,"603009  Нижний Новгород  проспект Гагарина  дом 39  2-й эт.  ТЦ ""Швейцария""",,
НОВЫЙ ВЗГЛЯД,0,,88312723000,, ,,,603086  Нижний Новгород  Совнаркомовская улица  дом 25-а,,
АНЭЛИЯ,0,,88314386058,, ,,,603000  Нижний Новгород  улица Минина  дом 11,,
АВТОРСКОЕ АТЕЛЬЕ-СТУДИЯ АНАСТАСИИ КАШАЕВОЙ,0,,88314139096,, ,,,603159  Нижний Новгород  Волжская набережная  дом 8,,
ВАСИЛЁК  ателье,0,https://wa.me/79200295140,,79200295140,vasilek-nn.ru,,,603123  Нижний Новгород  улица Афанасьева  дом 28  вход со двора  супермаркет Райцентр,,
ШАНС  ателье,0,,88314158605,, ,,,603053  Нижний Новгород  проспект Бусыгина  дом 19-а  201 офис,,
ИКСЭС-IV  обособленное подразделение,0,https://wa.me/79109704457,,79109704457, ,,,603035  Нижний Новгород  улица Чаадаева  дом 17  офис 102-а,,
ВЕНТФЭКТОРИ,0,https://wa.me/79601880309,,79601880309,ventfactory-nn.ru,,,603001  Нижний Новгород  Рождественская улица  дом 13,,
ЧИСЕ НН  клининговая компания,0,,88314131188,,,,,603116  Нижний Новгород  Гордеевская улица  дом 7,,
NOVA CLEANING,0,,88314206079,, ,,,603089  Нижний Новгород  Республиканская улица  дом 22,,
ЕВРОКЛИНИНГ  клининговая компания,0,,88314205009,,,,,603024  Нижний Новгород  Бойновский переулок  дом 22  а к1,,
КЛИНИНГОВАЯ КОМПАНИЯ,0,https://wa.me/79875498242,,79875498242,chaika52.ru,,,603011  Нижний Новгород  улица Октябрьской Революции  дом 43,,
УБОРКА 365  клининговая компания,0,,88312342073,, ,,,603074  Нижний Новгород  Народная улица  дом 41,,
АБСОЛЮТ  клининговая компания,0,,88312818240,,info-absolyut.blogspot.com,,,603010  Нижний Новгород  Прокатная улица  дом 6,,
ДЕНЬ УБОРКИ  клининговая компания,0,,88312359715,,nn.cleaning-day.ru,,,603140  Нижний Новгород  Мотальный переулок  дом 8,,
ЧИСТОТА 52  компания,0,,88314237844,,vk.com/himchistka_mebeli_nizhniy,http://vk.com/himchistka_mebeli_nizhniy,,603002  Нижний Новгород  Советская улица  дом 14,,
ПОСТ КОМ,0,https://wa.me/79087683673,,79087683673,,,,603162  Нижний Новгород  улица Маршала Малиновского  дом 11,,
CLEARJOB52 ЧИСТАЯ РАБОТА  клининговая служба,0,,88312310127,,Clean-nnov.ru,,,603002  Нижний Новгород  Должанская улица  дом 37,,
ПРОСТАЯ УБОРКА  клининговая компания,0,https://wa.me/79200185805,,79200185805,prostaya-uborka.ru,,,603140  Нижний Новгород  Мотальный переулок  дом 8,,
QUEEN CLEANING,0,,88312888177,, ,http://vk.com/club153513465,,603136  Нижний Новгород  улица Академика Сахарова  дом 3,,
CITY  клининговая компания,0,https://wa.me/79773420639,,79773420639,,,,603116  Нижний Новгород  Гордеевская улица  дом 34,,
ИП КНЯЗЕВА И.Ю.,0,https://wa.me/79047974420,,79047974420, ,,,Нижний Новгород,,
ИНДИГО,0,,88314132637,, ,,,603086  Нижний Новгород  Мануфактурная улица  дом 14-а  офис 401,,
ЧИСТЫЙ ДОМ  клининговая компания  ООО,0,,88314136806,, ,,,603109  Нижний Новгород  Ильинская улица  дом 45,,
BGCLEAN  клининговая компания,0,,88314131611,, ,,,603116  Нижний Новгород  Гордеевская улица  дом 59-в,,
КЛИН ТАЧ-НН,0,https://wa.me/79101088801,,79101088801,,,,603141  Нижний Новгород  улица Геологов  дом 1,,
ЕВРО-СЕРВИС,0,,88314661671,,,,,603107  Нижний Новгород  улица Маршала Голованова  дом 23  офис 403,,
ПРЕДСТАВИТЕЛЬСТВО ЧИСТОТЫ,0,,88314102085,,www.phnn.ru,,,603057  Нижний Новгород  улица Бекетова  дом 13-в  офис 124,,
КЛИНПАРК,0,,88003331969,, ,,,603002  Нижний Новгород  улица Обухова  дом 15-а,,
ГРИН РЭЙ,0,,88003331969,,,http://vk.com/karchernn,,,,
РЕМСЕРВИС,0,,88312577957,, ,,,603074  Нижний Новгород  Сормовское шоссе  дом 1-б  корпус 1,,
МАГИК-НН,0,,88314115375,, ,,,603037  Нижний Новгород  улица Федосеенко  дом 47,,
СИМОНА-СЕРВИС,0,,88312414720,, ,,,603074  Нижний Новгород  Сормовское шоссе  дом 15-а,,
КЛИН-ЛЮКС,0,,88314304387,, ,,,603000  Нижний Новгород  Новая улица  дом 29  офис 5,,
ЭЛОХИМ,0,,88312457188,, ,,,603140  Нижний Новгород  Воротынская улица  дом 2  офис 107,,
МАГАЗИН ЧИСТОТЫ,0,,88312431600,,www.green-ray.ru,,,603079  Нижний Новгород  Московское шоссе  дом 141,,
ВИНЭКО,0,,88314185868,, ,,,603093  Нижний Новгород  Деловая улица  дом 19,,
КАРЕКС,0,,88314185868,,,,,,,
GREENLOTOS,0,,88314342726,, ,,,603109  Нижний Новгород  Суетинская улица  дом 1-а  офис 410,,
KARCHER  магазин немецкой техники,0,,88314134583,, ,,,603163  Нижний Новгород  улица Родионова  дом 195  корпус 2  6 помещение,,
ГИГИЕНА ПЛЮС  дистрибьюторская компания,0,,88312021293,,www.gigienaplus.com,,,603159  Нижний Новгород  Волжская набережная  дом 19  4 помещение,,
ВСЕ ДЛЯ УБОРКИ  оптово-розничная компания,0,,88312614141,,вседляуборки.рф,,,603002  Нижний Новгород  улица Литвинова  дом 74-Б  510 офис  5 этаж  ТОЦ Дом Торговли,,
ЖАН  фотосалон,0,,88312657559,, ,http://vk.com/inzhirfoto,,603033  Нижний Новгород  Путейская улица  дом 17,,
СМИК  салон ,0,,88312657559,,,http://vk.com/fotonagornoy,,,,
ФОТОСЕТЬ,0,,88312171080,, ,,,603140  Нижний Новгород  проспект Ленина  дом 25  цокольный эт.,,
ФОТО SHOP,0,,88312171080,,,,,,,
ФОТОПОДАРКИ.РУС,0,https://wa.me/79527770170,,79527770170,фотоподарки.рус,https://vk.com/fotopodarki_rus,,603137  Нижний Новгород  проспект Гагарина  дом 222-а,,
АББАТ-НН,0,https://wa.me/79200605400,,79200605400, ,,,603000  Шушенская ул.  38,,
БЕРЕГ  фотоцентр,0,,88314392392,,,,,603022  Нижний Новгород  проспект Гагарина  дом 19,,
ГЛОБУС,0,https://wa.me/79047993986,,79047993986,,http://vk.com/veselo52,,603000  Нижний Новгород  Ильинская улица  дом 68-в,,
ТОЧКА,0,,88312910340,,www.printmyphoto.ru,,,603003  Нижний Новгород  улица Коминтерна  дом 115,,
ОБЪЕКТИВ,0,https://wa.me/79108999356,,79108999356,,,,"603002  Нижний Новгород  площадь Революции  дом 9  ТЦ ""Республика""",,
ИП ЩЕРБАТКИН Н.М.,0,,,,,http://vk.com/veselo52  http://vk.com/moroshkaphoto52,,,,
СРОЧНОЕ ФОТО,0,https://wa.me/79506112455,,79506112455,,,,603074  Нижний Новгород  проспект Ленина  дом 76,,
ФОТОПРО-ВОЛГА,0,,88314373192,,photopro-nn.ru,,,603005  Нижний Новгород  улица Пискунова  дом 9-а,,
JET PRINT,0,,88314373192,,,,,,,
PHOTO LINE  сервисная компания,0,https://wa.me/79040439960,,79040439960,www.photoline.tiu.ru,,,603137  Нижний Новгород  улица Маршала Голованова  дом 63  супермаркет Пятерочка,,
АЛАРИКА  фотоцентр,0,,,,,,,,,
ИП АНИСЬКИН Н.И.,0,,88312517812,,,,,603132  Нижний Новгород  улица Адмирала Макарова  дом 1,,
ПОЗИТИВ,0,https://wa.me/79082335450,,79082335450,,,,602142  Нижний Новгород  Мончегорская улица  дом 7-а,,
ФОТОСЕТЬ,0,,88312171080,, ,,,603140  Нижний Новгород  проспект Ленина  дом 25  цокольный эт.,,
ФОТО SHOP,0,,88312171080,,,,,,,
ПОЗИТИВ,0,https://wa.me/79506058113,,79506058113, ,,,603163  Нижний Новгород  улица Родионова  дом 200,,
ДОКУМЕНТ-ЦЕНТР,0,,88312170084,, ,http://vk.com/veselo52,,603950  Нижний Новгород  проспект Ленина  дом 93  офис 31,,
ФОТОSHOP,0,,88312170084,,,http://vk.com/foto_shop_nn,,,,
Фотостудия Ивановых,0,,88312789693,, ,https://vk.com/chernikaphotonn  https://vk.com/sychnikovda,,603004  Нижний Новгород  Студёная улица  дом 35-а  2-й эт.,,
Фотосалон  ИП ЗАХАРОВА Е.А.,0,https://wa.me/79200198711,,79200198711,www.52kadra.ru,http://vk.com/aip2811,,603014  Нижний Новгород  улица Страж Революции  дом 15  1 этаж,,
ЛАНТАН,0,,88314640660,,,http://vk.com/laps_studio  https://vk.com/public125211228,,603009  Нижний Новгород  проспект Гагарина  дом 114,,
ФОТОСТУДИЯ 14,0,,88312585327,,,https://vk.com/studio_newbornnn  https://vk.com/chernikaphotonn,,603076  Нижний Новгород  проспект Ленина  дом 52,,
БЕРЕГ  фотоцентр,0,,88314392392,,,,,603022  Нижний Новгород  проспект Гагарина  дом 19,,
ОКО,0,,88312730453,,,,,603003  Нижний Новгород  улица Коминтерна  дом 182,,
ГЕЛИУС,0,,88312460490,,,http://vk.com/club74142717,,603002  Нижний Новгород  Канавинская улица  дом 5,,
ГЛОБУС,0,https://wa.me/79047993986,,79047993986,,http://vk.com/veselo52,,603000  Нижний Новгород  Ильинская улица  дом 68-в,,
ТОЛЕДО,0,,88312961626,, ,,,603014  Нижний Новгород  Сормовское шоссе  дом 24  корпус 23,,
СВОЁ КИНО,0,,88314333800,,kino.nn.ru,,,603001  Нижний Новгород  Рождественская улица  дом 13,,
СЕРВИСНЫЙ ЦЕНТР,0,https://wa.me/79200522921,,79200522921,,,,603057  Нижний Новгород  улица Бекетова  дом 64,,
Fix mobile,0,https://wa.me/79302845505,,79302845505,,,,Нижний Новгород  Большая Покровская улица  дом 82,,
Вэллком  сервисный центр,0,https://wa.me/79601791111,,79601791111,,,,Нижний Новгород  Заводской парк  дом 21,,
Видео мастера  сервисный центр,0,,88312809890,,video-mastera.ru,,,Нижний Новгород  улица Лесохимиков  дом 8,,
ФОТООВАЛ.РУ,0,https://wa.me/79867682638,,79867682638,photooval.ru,,,603155  Нижний Новгород  улица Минина  дом 16-а,,
ЖАН  фотосалон,0,,88312657559,, ,http://vk.com/inzhirfoto,,603033  Нижний Новгород  Путейская улица  дом 17,,
Студия чувственной фотографиия,0,https://wa.me/79159436181,,79159436181,sensualphoto.ru,https://vk.com/sensualphotoru  https://vk.com/fotografdliadvoikh  http://vk.com/happyfoxnn,,603024  Нижний Новгород  улица Белинского  дом 124  4 этаж  ТРЦ Шоколад,,
PHOTO LINE  сервисная компания,0,https://wa.me/79040439960,,79040439960,www.photoline.tiu.ru,,,603137  Нижний Новгород  улица Маршала Голованова  дом 63  супермаркет Пятерочка,,
МИЛЛЕННИУМ  фотостудия,0,https://wa.me/79960194811,,79960194811,vk.com/millennium_photostudio,https://vk.com/millennium_photostudio  https://vk.com/glossphoto52,,603057  Нижний Новгород  улица Нартова  дом 2-в,,
ПЛОМБИР  фотостудия,0,https://wa.me/79990776697,,79990776697,vk.com/plombir_photostudio,http://vk.com/plombir_photostudio,,603002  Нижний Новгород  Интернациональная улица  дом 100  корпус 2,,
TOR  фотостудия,0,,88314156715,, ,http://vk.com/tor_rental_studio,,603001  Нижний Новгород  Почаинская улица  дом 17  лит М,,
COMILFO  фотостудия,0,https://wa.me/79632307655,,79632307655,vk.com/comilfonn,http://vk.com/comilfonn,,603089  Нижний Новгород  Республиканская улица  дом 43  к6,,
ФОТОСТУДИЯ ДЛЯ НОВОРОЖДЕННЫХ,0,https://wa.me/79200100742,,79200100742,,,,603001  Нижний Новгород  Кожевенная улица  дом 1  а лит А,,
MANSARDA  фотостудия,0,,88312102010,,rentalstudio.ru,http://vk.com/mansardstudio,,603001  Нижний Новгород  Черниговская улица  дом 17,,
CHOICE  фотостудия,0,https://wa.me/79036020022,,79036020022,vk.com/choice.photostudio,http://vk.com/choice.photostudio,,603000  Нижний Новгород  улица Максима Горького  дом 43,,
360  фотостудия,0,https://wa.me/79991217970,,79991217970,vk.com/nnstudio360,http://vk.com/nnstudio360,,603057  Нижний Новгород  улица Нартова  дом 2  лит Т,,
ФОТОСАЛОН,0,,88312788529,, ,,,603022  Нижний Новгород  проспект Гагарина  дом 22,,
MEHAPPYSTUDIO,0,https://wa.me/79506151324,,79506151324,,,,603057  Нижний Новгород  улица Нартова  дом 2  лит У,,
RED ROOM  арт-пространство,0,https://wa.me/79877532648,,79877532648,redroomart.ru,,,603001  Нижний Новгород  Рождественская улица  дом 24-а,,
ФОТОСЕТЬ  фотосалон,0,https://wa.me/79081645353,,79081645353,vk.com/fotoset52,http://vk.com/fotoset52,,603158  Нижний Новгород  проспект Кораблестроителей  дом 76,,
THE STUDIO  фотостудия,0,https://wa.me/79101250110,,79101250110,,,,603002  Нижний Новгород  Интернациональная улица  дом 100  корпус 2,,
ДЕЛО ВКУСА  студия видеомонтажа,0,,88312136816,,editingnn.ru,,,603034  Нижний Новгород  улица Лейтенанта Шмидта  дом 1-а,,
АТМОСФЕРА  интерьерная фотостудия и фотошкола,0,https://wa.me/79535559123,,79535559123,,http://vk.com/beze_studio  http://vk.com/tel2835377,,603005  Нижний Новгород  Октябрьская улица  дом 34-б,,
ЧИСТО ЛУЧИСТО,0,,88312340993,,ladogafresh.ru,,,603116  Нижний Новгород  Гордеевская улица  дом 2-а,,
